STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,Tract,NAME20,LifeEXP,Education,MedHH$,14+Days,OwnerOcc,OWOCC1,OOPC1,OwnOC2,OOCFin,Renter,Renter1,RENT1PRCT,Renter2,Renter3,1+2+3,RENTALLPRCT,#HH,Totpop,Age25+,HS,HSPRCT,BACH,BAPRCT,LT HS,LTHSPRCT,BA+,BAPRCT,HighSpeed,SPEEDPRCT,NATHISPEED,MNHISPEED,SIXHISPEED,NATL25,LTHS,PRCTLTHS,NATBA+,NATBA+PC,MN25,MNLTHS,MNLTHSPC,MNBA+,MNBA+PC,SIX25,SIXLTHS,SIXLTHSPC,SIXBA+,SIXBA+PC,NATMDHH$,MNMDHH$,DULUTHMSA$,FARGOMSA$,MANKATOMSA$,ROCHESTERMSA$,STCLOUDMSA$,SIXCITY$,NATHOUSING,NATPERCT,MNHOUSE,MNPRCT,DULUTHRENT,FARGORENT,MANKATORENT,ROCHESTERRENT,SCMSA,SIXRENT,NATRENT$,MNRent$,DULUTHRENT$,FARGORENT$,MANKATORENT$,ROCHESTERRENT$,STCLOUDRENT$,RENT,NATVALUE,MNVALUE,DULUTHMSAVALUE,FARGOMSAVALUE,MANKATOMSAVALUE,ROCHESTERMSAVALUE,STCLOUDMSAVALUE,STCLOUDVALUE,White1,Hispan1,Black1,Asian1,Native,Other1,Two+,PCTPOC,POCSIXPRCT,NATPOC,MNPOC,DULUTHMSAPOC,FARGOMSAPOC,MANKATOMSAPOC,ROCHESTERMSAPOC,STCLOUDMSAPOC
27,9,20206,27009020206,27009020206,202.06,77.6,85.2,"$47,500 ",12.6,751,170,22.6%,0,22.6,583,318,54.5%,0,0,318,54.5,"1,334","2,583","2,328",670,28.8,471,20.2,182,7.8,576,24.7,1055,79.1,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$939,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$178,600","2,359",69,25,27,7,10,84,8.7,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,9,20300,27009020300,27009020300,203,83.4,85.2,"$84,583 ",13.9,1065,208,19.5%,0,19.5,178,14,7.9%,19,0,33,18.5,"1,243","3,949","2,237",515,23.0,546,24.4,90,4.0,745,33.3,1109,89.2,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,"$1,385","$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$239,500","3,710",67,16,34,16,9,96,6.1,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,9,21102,27009021102,27009021102,211.02,79.5,85.2,"$50,427 ",14.8,1155,187,16.2%,11,17.1,917,334,36.4%,6,0,340,37.1,"2,072","4,565","3,192",960,30.1,472,14.8,205,6.4,759,23.8,1780,85.9,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$755,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$156,000","3,912",189,142,70,22,35,193,14.3,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,9,21103,27009021103,27009021103,211.03,78.2,85.2,"$45,478 ",14.3,655,94,14.4%,0,14.4,946,319,33.7%,0,0,319,33.7,"1,601","3,512","2,414",542,22.5,708,29.3,125,5.2,807,33.4,1338,83.6,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$775,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$173,500","2,981",135,123,57,29,3,182,15.1,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,9,21104,27009021104,27009021104,211.04,78.2,85.2,"$65,449 ",14.3,1406,213,15.1%,0,15.1,288,70,24.3%,15,0,85,29.5,"1,694","4,735","2,808",688,24.5,371,13.2,81,2.9,709,25.2,1613,95.2,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,"$1,065","$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$194,500","4,203",121,55,104,25,6,221,11.2,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,9,21201,27009021201,27009021201,212.01,78.2,78.3,"$43,967 ",17.1,1188,167,14.1%,0,14.1,2062,668,32.4%,37,44,749,36.3,"3,250","6,828","3,982",1124,28.2,579,14.5,845,21.2,735,18.5,2596,79.9,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$717,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$141,100","4,197",404,"1,575",133,49,37,433,38.5,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,141,31500,27141031500,27141031500,315,74.7,77.4,"$47,753 ",15.0,1154,197,17.1%,0,17.1,1893,673,35.6%,192,0,865,45.7,"3,047","7,597","5,348",1551,29.0,922,17.2,1063,19.9,1428,26.7,2306,75.7,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$900,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$143,100","4,791",253,"1,909",206,85,30,318,36.9,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,301,27145000301,27145000301,3.01,78.5,77.4,"$49,375 ",15.9,797,91,11.4%,0,11.4,619,336,54.3%,56,0,392,63.3,"1,416","3,567","2,148",599,27.9,447,20.8,198,9.2,658,30.6,1228,86.7,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$899,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$129,100","2,342",169,682,132,8,27,204,34.3,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,303,27145000303,27145000303,3.03,,77.4,"$31,445 ",20.8,26,0,0.0%,0,0.0,685,286,41.8%,3,0,289,42.2,711,"2,396",438,99,22.6,95,21.7,58,13.2,139,31.7,629,88.5,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$527,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100",MISSING,"1,497",129,306,344,11,18,86,37.5,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,304,27145000304,27145000304,3.04,,77.4,"$35,698 ",20.8,479,52,10.9%,19,14.8,1491,708,47.5%,72,0,780,52.3,"1,970","5,586","2,466",576,23.4,368,14.9,428,17.4,560,22.7,1850,93.9,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$776,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$188,500","2,207",154,"2,716",232,30,31,210,60.5,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,401,27145000401,27145000401,4.01,84.4,77.4,"$59,414 ",16.1,841,61,7.3%,0,7.3,1566,634,40.5%,140,0,774,49.2,"2,407","6,387","3,659",938,25.6,816,22.3,580,15.9,1274,34.8,2048,85.1,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$899,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$231,600","3,284",269,"2,376",173,25,20,237,48.6,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,402,27145000402,27145000402,4.02,83.8,77.4,"$99,675 ",11.6,1745,175,10.0%,0,10.0,250,78,31.2%,0,0,78,31.2,"1,995","5,756","3,714",595,16.0,1182,31.8,36,1.0,1991,53.6,1858,93.1,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,"$1,370","$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$240,000","5,124",124,161,161,12,11,163,11.0,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,501,27145000501,27145000501,5.01,79.9,79.2,"$52,933 ",15.4,516,93,18.0%,0,17.0,483,254,52.6%,54,0,308,63.8,999,"2,158","1,539",512,33.3,306,19.9,127,8.3,323,21.0,875,87.6,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$808,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$118,100","1,665",186,170,26,16,10,83,22.8,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,502,27145000502,27145000502,5.02,79.9,79.2,"$40,884 ",15.4,970,327,33.7%,0,33.7,1529,759,49.6%,83,0,842,55.1,"2,499","5,928","3,428",1218,35.5,277,8.1,552,16.1,391,11.4,2067,82.7,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$905,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$194,100","3,194",380,"2,017",147,24,11,154,46.1,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,601,27145000601,27145000601,6.01,75.8,78.3,"$56,250 ",15.5,953,146,15.3%,0,15.3,410,195,47.6%,0,0,195,47.6,"1,363","3,391","2,207",669,30.3,298,13.5,141,6.4,378,17.1,1143,83.9,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$936,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$112,400","2,275",129,677,72,28,13,195,32.9,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,602,27145000602,27145000602,6.02,77.5,78.3,"$43,614 ",14.9,856,129,15.1%,0,15.1,323,179,55.4%,0,0,179,55.4,"1,179","2,922","2,101",800,38.1,295,14.0,79,3.8,406,19.3,1029,87.3,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$658,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$109,400","2,172",135,337,54,18,15,189,25.7,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,701,27145000701,27145000701,7.01,82.1,79.2,"$52,604 ",13.7,863,107,12.4%,0,12.4,185,82,44.3%,0,0,82,44.3,"1,048","2,885","1,852",546,29.5,373,20.1,108,5.8,194,10.5,830,79.2,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,"$1,134","$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$131,000","2,250",135,218,87,16,20,159,22.0,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,801,27145000801,27145000801,8.01,78.6,79.2,"$41,594 ",14.6,830,123,14.8%,0,14.8,740,315,42.6%,0,0,315,42.6,"1,570","3,766","2,345",522,22.3,675,28.8,105,4.5,914,39.0,1393,88.7,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$682,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$124,700","2,741",211,497,44,45,33,188,27.2,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,901,27145000901,27145000901,9.01,77.5,79.2,"$43,058 ",14.1,1041,178,17.1%,0,17.1,1094,408,37.3%,83,11,502,45.9,"2,135","4,833","2,897",689,23.8,654,22.6,266,9.2,971,33.5,1772,83.0,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$743,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$155,100","3,281",172,"1,007",117,29,23,193,32.1,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,1002,27145001002,27145001002,10.02,77.9,79.2,"$69,604 ",13.3,1622,295,18.2%,0,18.2,737,370,50.2%,0,0,370,50.2,"2,359","6,213","3,570",823,23.1,1007,28.2,91,2.5,1273,35.7,2088,88.5,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$897,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$192,400","5,002",267,359,308,8,14,253,19.5,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,1003,27145001003,27145001003,10.03,77.9,79.2,"$67,578 ",13.3,822,161,19.6%,0,19.6,555,95,17.1%,0,0,95,17.1,"1,377","3,986","2,817",673,23.9,598,21.2,221,7.8,949,33.7,1200,87.1,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,"$1,243","$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$188,900","3,320",139,198,200,15,3,107,16.7,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,10101,27145010101,27145010101,101.01,83.9,97.5,"$114,367 ",12.2,2131,138,6.5%,0,6.5,1993,408,20.5%,220,0,628,31.5,"2,539","8,086","4,667",628,13.5,1448,31.0,67,1.4,2292,49.1,2391,94.2,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$855,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$259,800","7,376",177,83,149,17,2,282,8.8,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,10103,27145010103,27145010103,101.03,81.1,97.5,"$72,875 ",13.3,1186,103,8.7%,0,8.7,440,96,21.8%,0,0,96,21.8,"1,626","4,782","2,637",224,8.5,729,27.6,107,4.1,1014,38.5,1396,85.9,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$925,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$174,900","4,165",130,89,131,28,11,228,12.9,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,10104,27145010104,27145010104,101.04,81.1,97.5,"$54,444 ",13.3,746,85,11.4%,0,11.4,1450,767,52.9%,0,0,767,52.9,"2,196","5,676","3,128",653,20.9,918,29.3,367,11.7,1213,38.8,1838,83.7,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,"$1,038","$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$224,000","4,904",182,170,187,11,14,206,13.6,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,11307,27145011307,27145011307,113.07,85.1,79.2,"$77,891 ",17.5,88,46,52.3%,0,52.3,153,69,45.1%,0,0,69,45.1,241,"1,683",620,86,13.9,206,33.2,8,1.3,412,66.5,181,75.1,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$852,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$185,100","1,392",92,80,77,5,2,35,17.3,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,11308,27145011308,27145011308,113.08,85.1,79.2,"$60,625 ",17.5,1876,229,12.2%,0,12.2,403,241,59.8%,6,0,247,61.3,"2,279","6,061","3,736",591,15.8,698,18.7,282,7.5,1095,29.3,1992,87.4,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$844,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$166,200","4,900",491,398,87,17,10,158,19.2,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,11400,27145011400,27145011400,114,82.4,77.4,"$74,604 ",14.4,1305,130,10.0%,0,10.0,703,236,33.6%,29,0,265,37.7,"2,008","5,034","3,413",986,28.9,570,16.7,183,5.4,868,25.4,1841,91.7,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,"$1,007","$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$237,800","4,381",126,272,67,10,29,146,13.0,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
27,145,11600,27145011600,27145011600,116,,77.4,"$17,007 ",22.4,49,11,22.4%,0,22.4,386,251,65.0%,20,0,271,70.2,435,"2,023",571,95,16.6,195,34.2,13,2.3,272,47.6,389,89.4,85.2,87.2,86.1,"222,836,834","25,562,680",11.5,"73,356,319",32.9,"3,802,438","252,331",6.6,"1,398,575",36.8,"76,262",6608,8.7,"23,346",30.6,"$64,994","$73,382","$58,729","$66,995","$63,288","$76,787","$64,118","$58,544","44,147,742",49.7,"615,932",46.9,46.8,42.3,44.4,46.3,43.5,46.5,"$1,096","$1,010",$794,$835,$898,$952,$838,$726,"$229,800","$235,700","$162,700","$225,600","$198,100","$218,500","$192,100","$337,000","1,540",121,136,125,4,1,96,23.9,25.0,42.2,23.7,12.0,18.4,16.5,18.9,17.3
,,,,,,,,,,,,,,,,,,,,,,,"126,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,165",,,,,,,,,,,,,,,